gameTitle,Distrust,不信,
Tutorial_Step02.2,\u3053\u308C\u306F\u63A2\u691C\u5BB6\u306E\u4F53\u6E29\u3067\u3059\n\u4F53\u6E29\u304C\u6975\u7AEF\u306B\u4E0B\u304C\u308B\u3068\u63A2\u691C\u5BB6\u306F\u75C5\u6C17\u306B\u306A\u308B\u53EF\u80FD\u6027\u304C\u3042\u308B\u306E\u3067\u6CE8\u610F\u3057\u307E\u3057\u3087\u3046,\ u3053 \ u308C \ u306F \ u63A2 \ u691C \ u5BB6 \ u306E \ u4F53 \ u6E29 \ u3067 \ u3059 \ n \ u4F53 \ u6E29 \ u304C \ u6975 \ u7AEF \ u306B \ u4E0B \ u304C \ u308B \ u3068 \ u63A2 \ u691C \ u5BB6 \ u306F \ u75C5 \ u6C17 \ u306B \ u306A \ u308B \ u53EF \ u80FD \ u6027 \ u304C \ u3042 \ u308B \ u306E \ u3067 \ u6CE8 \ u610F \ u3057 \ u307E \ u3057 \ u3087 \ u3046,
Tutorial_Step02.3,\u3053\u306E\u5EFA\u7269\u306F\u6696\u623F\u3055\u308C\u3066\u304A\u3089\u305A\uFF0C\u63A2\u691C\u5BB6\u306F\u51CD\u3048\u3066\u3044\u307E\u3059\n\u6696\u7089\u306B\u706B\u3092\u8D77\u3053\u3057\u3066\u5EFA\u7269\u3092\u6E29\u3081\u307E\u3057\u3087\u3046,\ u3053 \ u306E \ u5EFA \ u7269 \ u306F \ u6696 \ u623F \ u3055 \ u308C \ u3066 \ u304A \ u3089 \ u305A \ uFF0C \ u63A2 \ u691C \ u5BB6 \ u306F \ u51CD \ u3048 \ u3066 \ u3044 \ u307E \ u3059 \ nは\ u6696 \ u7089 \ u306B \ u706B \ u3092 \ u8D77 \ u3053 \ u3057 \ u3066 \ u5EFA \ u7269 \ u3092 \ u6E29 \ u3081 \ u307E \ u3057 \ u3087 \ u3046,
Tutorial_Step02.4,\u677F\u6750\u306F\u57FA\u5730\u306E\u81F3\u308B\u6240\u3067\u898B\u3064\u304B\u308A\uFF0C\u71C3\u6599\u6E90\u3084\u69D8\u3005\u306A\u4FEE\u7406\u306B\u7528\u3044\u3089\u308C\u307E\u3059\n\u677F\u6750\u3092\u62FE\u3046\u306B\u306F\u677F\u6750\u306E\u4E0A\u306B\u30DE\u30A6\u30B9\u30AB\u30FC\u30BD\u30EB\u3092\u79FB\u52D5\u3057\uFF0C\u4F5C\u696D\u30A2\u30A4\u30B3\u30F3\u3092\u30AF\u30EA\u30C3\u30AF\u3057\u307E\u3059,\ u677F \ u6750 \ u306F \ u57FA \ u5730 \ u306E \ u81F3 \ u308B \ u6240 \ u3067 \ u898B \ u3064 \ u304B \ u308A \ uFF0C \ u71C3 \ u6599 \ u6E90 \ u3084 \ u69D8 \ u3005 \ u306A \ u4FEE \ u7406 \ u306B \ u7528 \ u3044 \ u3089 \ u308C \ u307E \ u3059 \ n \ u677F \ u6750 \ u3092 \ u62FE \ u3046 \ u306B \ u306F \ u677F \ u6750 \ u306E \ u4E0A \ u306B \ u30DE \ u30A6 \ u30B9 \ u30AB \ u30FC \ u30BD \ u30EB \ u3092 \ u79FB \ u52D5 \ u3057 \ uFF0C \ u4F5C \ u696D \ u30A2 \ u30A4 \ u30B3 \ u30F3 \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF \ u3057 \ u307E \ u3059,
Tutorial_Step02.5,\u677F\u6750\u3092\u62FE\u3044\u307E\u3057\u305F\uFF0E\u6696\u7089\u3092\u7740\u3051\u308B\u306B\u306F\uFF0C\u9069\u5207\u306A\u4F5C\u696D\u30A2\u30A4\u30B3\u30F3\u3092\u30AF\u30EA\u30C3\u30AF\u3057\u307E\u3059,\ u677F \ u6750 \ u3092 \ u62FE \ u3044 \ u307E \ u3057 \ u305F \ uFF0E \ u6696 \ u7089 \ u3092 \ u7740 \ u3051 \ u308B \ u306B \ u306F \ uFF0C \ u9069 \ u5207 \ u306A \ u4F5C \ u696D \ u30A2 \ u30A4 \ u30B3 \ u30F3 \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF \ u3057 \ u307E \ u3059,
Tutorial_Step02.6,\u6696\u7089\u306B\u706B\u304C\u4ED8\u3044\u3066\u3044\u308B\u306E\u306B\u5BD2\u3044\u5834\u5408\u306F\uFF0C\u7A93\u3092\u78BA\u8A8D\u3057\u307E\u3057\u3087\u3046\n\u7A93\u304C\u958B\u3044\u3066\u3044\u305F\u308A\u58CA\u308C\u3066\u3044\u308B\u3068\u5EFA\u7269\u304C\u6696\u304B\u304F\u306A\u308A\u307E\u305B\u3093,\ u6696 \ u7089 \ u306B \ u706B \ u304C \ u4ED8 \ u3044 \ u3066 \ u3044 \ u308B \ u306E \ u306B \ u5BD2 \ u3044 \ u5834 \ u5408 \ u306F \ uFF0C \ u7A93 \ u3092 \ u78BA \ u8A8D \ u3057 \ u307E \ u3057 \ u3087 \ u3046 \ n \ u7A93 \ u304C \ u958B \ u3044 \ u3066 \ u3044 \ u305F \ u308A \ u58CA \ u308C \ u3066 \ u3044 \ u308B \ u3068 \ u5EFA \ u7269 \ u304C \ u6696 \ u304B \ u304F \ u306A \ u308A \ u307E \ u305B \ u3093,
Tutorial_Step03.1,\u7D20\u6674\u3089\u3057\u3044\uFF01\u5EFA\u7269\u304C\u6696\u304B\u304F\u306A\u308A\uFF0C\u63A2\u691C\u5BB6\u306F\u3082\u3046\u51CD\u3048\u3066\u3044\u307E\u305B\u3093\n\u6696\u7089\u306B\u3069\u308C\u3060\u3051\u71C3\u6599\u304C\u6B8B\u3063\u3066\u3044\u308B\u304B\u306F\u4E0A\u306E\u30A2\u30A4\u30B3\u30F3\u306B\u8868\u793A\u3055\u308C\u308B\u306E\u3067\u6CE8\u610F\u3057\u307E\u3057\u3087\u3046\n\u3067\u306F\uFF0C\u6B21\u306E\u90E8\u5C4B\u3092\u63A2\u7D22\u3057\u307E\u3057\u3087\u3046,\ u7D20 \ u6674 \ u3089 \ u3057 \ u3044 \ uFF01 \ u5EFA \ u7269 \ u304C \ u6696 \ u304B \ u304F \ u306A \ u308A \ uFF0C \ u63A2 \ u691C \ u5BB6 \ u306F \ u3082 \ u3046 \ u51CD \ u3048 \ u3066 \ u3044 \ u307E \ u305B \ u3093 \ n \ u6696 \ u7089 \ u306B \ u3069 \ u308C \ u3060 \ u3051 \ u71C3 \ u6599 \ u304C \ u6B8B \ u3063 \ u3066 \ u3044 \ u308B \ u304B \ u306F \ u4E0A \ u306E \ u30A2 \ u30A4 \ u30B3 \ u30F3 \ u306B \ u8868 \ u793A \ u3055 \ u308C \ u308B \ u306E \ u3067 \ u6CE8 \ u610F \ u3057 \ u307E \ u3057 \ u3087 \ u3046 \ n \ u3067 \ u306F \ uFF0C \ u6B21 \ u306E \ u90E8 \ u5C4B \ u3092 \ u63A2 \ u7D22 \ u3057 \ u307E \ u3057 \ u3087 \ u3046,
Tutorial_Step04.1,\u767A\u96FB\u6A5F\u304C\u71C3\u6599\u5207\u308C\u306A\u306E\u3067\uFF0C\u5EFA\u7269\u306F\u6697\u304F\u306A\u3063\u3066\u3044\u307E\u3059\n\u6697\u3044\u90E8\u5C4B\u3067\u306F\uFF0C\u63A2\u691C\u5BB6\u306F\u30E9\u30A4\u30C8\u306B\u983C\u3089\u306D\u3070\u306A\u3089\u305A\uFF0C\u52D5\u304D\u304C\u9045\u304F\u306A\u308A\u307E\u3059\n\u4FBF\u5229\u306A\u7269\u3092\u898B\u9003\u3055\u306A\u3044\u69D8\u306B\uFF0C\u51FA\u6765\u308B\u3060\u3051\u65E9\u304F\u767A\u96FB\u6A5F\u3092\u8D77\u52D5\u3057\u307E\u3057\u3087\u3046,\ u767A \ u96FB \ u6A5F \ u304Cの\ u71C3 \ u6599 \ u5207 \ u308C \ u306A \ u306E \ u3067 \ uFF0C \ u5EFA \ u7269 \ u306F \ u6697 \ u304F \ u306A \ u3063 \ u3066 \ u3044 \ u307E \ u3059 \ n \ u6697 \ u3044 \ u90E8 \ u5C4B \ u3067 \ u306F \ uFF0C \ u63A2 \ u691C \ u5BB6 \ u306F \ u30E9 \ u30A4 \ u30C8 \ u306B \ u983C \ u3089 \ u306D \ u3070 \ u306A \ u3089 \ u305A \ uFF0C \ u52D5 \ u304D \ u304C \ u9045 \ u304F \ u306A \ u308A \ u307E \ u3059 \ n \ u4FBF \ u5229 \ u306A \ u7269 \ u3092 \ u898B \ u9003 \ u3055 \ u306A \ u3044 \ u69D8 \ u306B \ uFF0C \ u51FA \ u6765 \ u308B \ u3060 \ u3051 \ u65E9 \ u304F \ u767A \ u96FB \ u6A5F \ u3092 \ u8D77 \ u52D5 \ u3057 \ u307E \ u3057 \ u3087 \ u3046,
Tutorial_Step04.2,\u3053\u306E\u68DA\u306B\u30AC\u30B9\u306E\u7F36\u304C\u3042\u308A\u307E\u3059\n\u30AC\u30B9\u7F36\u304C\u4E00\u676F\u306A\u3089\uFF0C\u0033\u3064\u306E\u767A\u96FB\u6A5F\u306B\u71C3\u6599\u3092\u88DC\u7D66\u3067\u304D\u307E\u3059\n\u4F5C\u696D\u30A2\u30A4\u30B3\u30F3\u3092\u30AF\u30EA\u30C3\u30AF\u3057\u3066\u30AC\u30B9\u7F36\u3092\u62FE\u3044\u307E\u3057\u3087\u3046,\ u3053 \ u306E \ u68DA \ u306B \ u30AC \ u30B9 \ u306E \ u7F36 \ u304C \ u3042 \ u308A \ u307E \ u3059 \ n \ u30AC \ u30B9 \ u7F36 \ u304C \ u4E00 \ u676F \ u306A \ u3089 \ uFF0C \ u0033 \ u3064 \ u306E \ u767A \ u96FB \ u6A5F \ u306B \ u71C3 \ u6599 \ u3092 \ u88DC \ u7D66 \ u3067 \ u304D \ u307E \ u3059 \ n \ u4F5C \ u696D \ u30A2 \ u30A4 \ u30B3 \ u30F3 \ \ u30AF \ u30EA \ u30C3 u3092 \ u30AF \ u3057 \ u3066 \ u30AC \ u30B9 \ u7F36 \ u3092 \ u62FE \ u3044 \ u307E \ u3057 \ u3087 \ u3046,
Tutorial_Step04.3,\u30AC\u30B9\u7F36\u3092\u4F7F\u3063\u3066\u767A\u96FB\u6A5F\u306B\u71C3\u6599\u3092\u88DC\u7D66\u3059\u308B\u306B\u306F\uFF0C\u767A\u96FB\u6A5F\u306E\u4F5C\u696D\u30A2\u30A4\u30B3\u30F3\u3092\u30AF\u30EA\u30C3\u30AF,\ u30AC \ u30B9 \ u7F36 \ u3092 \ u4F7F \ u3063 \ u3066 \ u767A \ u96FB \ u6A5F \ u306B \ u71C3 \ u6599 \ u3092 \ u88DC \ u7D66 \ u3059 \ u308B \ u306B \ u306F \ uFF0C \ u767A \ u96FB \ u6A5F \ u306E \ u4F5C \ u696D \ u30A2 \ u30A4 \ u30B3 \ u30F3 \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Tutorial_Step04.4,\u5EFA\u7269\u306B\u660E\u304B\u308A\u304C\u3064\u304D\u307E\u3057\u305F\uFF0E\n\u767A\u96FB\u6A5F\u306E\u71C3\u6599\u306E\u6B8B\u91CF\u306B\u6CE8\u610F\u3057\u307E\u3057\u3087\u3046,\ u5EFA \ u7269 \ u306B \ u660E \ u304B \ u308A \ u304C \ u3064 \ u304D \ u307E \ u3057 \ u305F \ uFF0E \ n \ u767A \ u96FB \ u6A5F \ u306E \ u71C3 \ u6599 \ u306E \ u6B8B \ u91CF \ u306B \ u6CE8 \ u610F \ u3057 \ u307E \ u3057 \ u3087 \ u3046,
Tutorial_Step05.1,\u63A2\u691C\u5BB6\u306E\u6E80\u8179\u5EA6\uFF08\u7A7A\u8179\u5EA6\uFF09\u306F\u3053\u3053\u306B\u8868\u793A\u3055\u308C\u307E\u3059\n\u30AD\u30E3\u30E9\u30AF\u30BF\u30FC\u306F\u6642\u9593\u3068\u3068\u3082\u306B\u7A7A\u8179\u306B\u306A\u308A\u307E\u3059\n\u98DF\u3079\u7269\u3092\u4E0E\u3048\u306A\u3051\u308C\u3070\uFF0C\u5F7C\u3089\u306F\u5065\u5EB7\u3092\u5931\u3044\u307E\u3059,\ u63A2 \ u691C \ u5BB6 \ u306E \ u6E80 \ u8179 \ u5EA6 \ uFF08 \ u7A7A \ u8179 \ u5EA6 \ uFF09 \ u306F \ u3053 \ u3053 \ u306B \ u8868 \ u793A \ u3055 \ u308C \ u307E \ u3059 \ n \ u30AD \ u30E3 \ u30E9 \ u30AF \ u30BF \ u30FC \ u306F \ u6642 \ u9593 \ u3068 \ u3068 \ u3082 \ u306B \ u7A7A \ u8179 \ u306B \ u306A \ u308A \ u307E \ u3059 \ n \ u98DF \ u3079 \ u7269 \ u3092 \ u4E0E \ u3048 \ u306A \ u3051 \ u308C \ u3070 \ uFF0C \ u5F7C \ u3089 \ u306F \ u5065 \ u5EB7 \ u3092 \ u5931 \ u3044 \ u307E \ u3059,
Tutorial_Step05.2,\u30CA\u30A4\u30C8\u30C6\u30FC\u30D6\u30EB\u306E\u98DF\u3079\u7269\u3092\u63A2\u3059\u306B\u306F\uFF0C\u4F5C\u696D\u30A2\u30A4\u30B3\u30F3\u3092\u30AF\u30EA\u30C3\u30AF,\ u30CA \ u30A4 \ u30C8 \ u30C6 \ u30FC \ u30D6 \ u30EB \ u306E \ u98DF \ u3079 \ u7269 \ u3092 \ u63A2 \ u3059 \ u306B \ u306F \ uFF0C \ u4F5C \ u696D \ u30A2 \ u30A4 \ u30B3 \ u30F3 \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Tutorial_Step05.4,\u57FA\u5730\u4E2D\u3067\u306F\u69D8\u3005\u306A\u98DF\u3079\u7269\u304C\u898B\u3064\u304B\u308A\u307E\u3059\n\u98DF\u3079\u7269\u304C\u7570\u306A\u308B\u3068\u56DE\u5FA9\u3059\u308B\u6E80\u8179\u5EA6\u3082\u5909\u5316\u3057\u307E\u3059\n\u4E00\u90E8\u306E\u98DF\u54C1\u306F\u751F\u3067\u3042\u308A\uFF0C\u8ABF\u7406\u3059\u308B\u3068\u6804\u990A\u4FA1\u304C\u4E0A\u304C\u308A\u307E\u3059,\ u57FA \ u5730 \ u4E2D \ u3067 \ u306F \ u69D8 \ u3005 \ u306A \ u98DF \ u3079 \ u7269 \ u304C \ u898B \ u3064 \ u304B \ u308A \ u307E \ u3059 \ n \ u98DF \ u3079 \ u7269 \ u304C \ u7570 \ u306A \ u308B \ u3068 \ u56DE \ u5FA9 \ u3059 \ u308B \ u6E80 \ u8179 \ u5EA6 \ u3082 \ u5909 \ u5316 \ u3057 \ u307E \ u3059 \ n \ u4E00 \ u90E8 \ u306E \ u98DF \ u54C1 \ u306F \ u751F \ u3067 \ u3042 \ u308A \ uFF0C \ u8ABF \ u7406 \ u3059 \ u308B \ u3068 \ u6804 \ u990A \ u4FA1 \ u304C \ u4E0A \ u304C \ u308A \ u307E \ u3059,
Tutorial_Step05.5,To feed an explorercomma drag food from the inventory to the explorer's portrait.,エクスプローラの肖像画にインベントリからexplorercommaドラッグ食品を養うために。,
Tutorial_Step05.6,When you close the inventory by clicking on the \u201DXcomma\u201D\nthe explorer will perform the action you assigned to him or her.,あなたは「Xcomma」をクリックして在庫を閉じると\ nのエクスプローラは、あなたが彼または彼女に割り当てられたアクションを実行します。,
Tutorial_Step05.7,The progress of the tasks your team is performing is displayed here\nand above the head of the characters performing the tasks.,あなたのチームが実行しているタスクの進捗状況は、NANDタスクを実行する文字の頭の上に\ここに表示されます。,
Tutorial_Step06.1,Send the explorer to search the cabinet. It might contain useful things.,キャビネットを検索するエクスプローラを送信します。それは便利なものが含まれている場合があります。,
Tutorial_Step06.2,Bad news: the explorer cut himself while searching the cabinet!\nWhile searching the basecomma explorers can suffer from various negative effects.\nEach effect does something different to the explorers. To learn more about an effectcomma hover the mouse cursor over its icon.,悪いニュース：キャビネットを探しながら、エクスプローラは、自分自身をカット\ nWhileは様々な悪影響を被る可能性がbasecommaの探検を検索\ nEach効果は探検家に異なる何かをします！。。 effectcommaについての詳細を学ぶためには、そのアイコンの上にマウスカーソルを合わせます。,
Tutorial_Step06.3,To stop the bleedingcomma you need bandages.\nSend the explorer to search this crate.,bleedingcommaを停止するには、包帯を必要としています。\ NSENDこのクレートを検索するエクスプローラ。,
Tutorial_Step06.4,To stop something from affecting a charactercomma drag the appropriate item\nfrom the inventory onto the character's portrait.\nOpen the inventory and drag the bandages onto the bleeding explorer.\nRemember: the bandages will be applied only after you close the inventory.,。\文字の肖像画に\ charactercommaドラッグに適切な項目に影響を与えることからnOpen在庫をNfromを在庫し、何かを停止し、出血エクスプローラ上に包帯をドラッグするには\ nRemember：包帯は、インベントリを閉じた後にのみ適用されます。,
Tutorial_Step07.1,Excellent! The cabinet contained a jacket. You can find jackets that provide varying degrees of protection \nfrom the cold throughout the base.\nThe warmer a jacket keeps a charactercomma the longer the character can be in the cold without losing health.\nTo place a jacket on an explorercomma open the inventory and drag it to the jacket slot next to the desired character.,優秀な！キャビネットは、ジャケットが含まれていました。あなたはベース全体の保護の様々な程度を提供ジャケット\ Nfromを寒さを見つけることができます。ジャケットは長いが、キャラクターが健康を失うことなく、寒さにすることができcharactercommaを保持します\ nの暖かい。\ NTOはexplorercomma上のジャケットを置き、在庫を開きますそして次の所望の文字にジャケットスロットにドラッグします。,
Tutorial_Step08.1,Hover the mouse cursor over this crate.\nThis icon indicates that you don't have the tools you need to perform a specific action.\nIn this casecomma you could turn this crate into planks. Look for the right tool.,この木箱の上にマウスカーソルを置きます。\ nこのアイコンは、あなたが特定のアクションを実行するために必要なツールを持っていないことを示している。\ NINこのcasecommaは、あなたが厚板にこの木枠を回すことができます。適切なツールを探してください。,
Tutorial_Step08.2,A saw is stuck in the leg of this table. Pull it out.,のこぎりは、このテーブルの足で立ち往生しています。押し出す。,
Tutorial_Step08.4,The saw is one of the tools you can find on the base.\nThe progress bar displays its degree of deterioration.\nSome broken tools can be repaired on a workbench,のこぎりを使用すると、ベース上で見つけることができるツールの一つです。\ nのプログレスバーが劣化の程度を表示します。\ nいくつか壊れたツールが作業台の上に修復することができます,
Tutorial_Step08.5,To close the tools windowcomma click on the \u201DX.\u201D,「X」をクリックしてwindowcommaツールを閉じるには,
Tutorial_Step08.6,Send the explorer to turn the empty crate into planks.\nThis is a good way to acquire fuel for the furnace.,厚板に空のクレートをオンにするエクスプローラを送信します。\ nこれは、炉用の燃料を取得するための良い方法です。,
Tutorial_Step09.1,You have completed your training and acquired enough\nknowledge to begin an independent study of the base.\nGood luck!,あなたは、あなたのトレーニングを完了し、ベースの独立した研究を開始するのに十分なの\ nknowledgeを取得しています。\ nGood運を！,
Tutorial_Step_Map02,The polar base is divided into zones. The map displays the zone in which your expedition is located.\nFor security reasonscomma each zone has a fence and provides only one door to the next zone.\nLook for the closed door icon to find the exit.,極性ベースはゾーンに分割されます。マップはあなたの遠征が配置されているゾーンが表示されます。\ Nforのセキュリティreasonscomma各ゾーンにはフェンスがあり、次のゾーンに一つだけの扉を提供します。\ nLookの出口を見つけるために、閉じたドアのアイコンのために。,
Tutorial_Step_Map03,The map displays the buildings in the current zone and the location and status of doors and other\nimportant objects (such as explorerscomma workbenches and the pass that provides access to the next zone).\nTo move the camera to a certain point on the mapcomma click on that point on the map.\nClicking on the map also closes this window.,マップは、現在のゾーン内の建物やドアと（例えばexplorerscommaワークベンチと次のゾーンへのアクセスを提供するパスのような）他の\ nimportantオブジェクトの位置およびステータスを表示する。\ NTOはmapcomma上の特定のポイントにカメラを移動します地図上のそのポイントをクリックしてください。\マップ上nClickingも、このウィンドウを閉じます。,
Tutorial_Step_Map04,To close the mapcomma click on the \u201DX.\u201D,「X」にmapcommaクリックを閉じるには,
Tutorial_Step_OpenDoor01,Some doors are locked - like this one.\nThere are several ways to open a doorcomma many of which become available\nonly after you find the right tool. Howevercomma if you find a ring of keyscomma\nyou can always open a door by finding the corresponding key.\nThis takes a long time but doesn't require a tool.,いくつかのドアロックされている - 。このいずれかのようました -  \ nはあなたが適切なツールを見つけた後nonly \利用可能になるその多くはdoorcommaを開くには、いくつかの方法があります。 Howevercommaはいつでも対応するキーを見つけることによって、ドアを開くことができkeyscomma \ nをの指輪を見つけた場合。\ nこれは長い時間がかかりますが、ツールを必要としません。,
Tutorial_Step_OpenDoor02,While one character is busy opening the doorcomma\nassign a different task to the other character.\nSelect the other explorer and send him or her to examine this backboard.\nIt might contain useful information.,1つの文字がdoorcomma \ nassign他の文字に異なるタスク開く忙しいですが。\ nSelectは、他の探検家とは彼を送信したり、彼女がこのバックボードを検討する。\ NITには有用な情報が含まれている場合があります。,
Event00_Step01.1,\u6249\u3092\u958B\u3051\u5EFA\u7269\u306B\u5165\u308B,\ u6249 \ u3092 \ u958B \ u3051 \ u5EFA \ u7269 \ u306B \ u5165 \ u308B,
Event00_Step01.2,\u0032\u4EBA\u76EE\u306E\u63A2\u691C\u5BB6\u3092\u9078\u629E\u3059\u308B,\ u0032 \ u4EBA \ u76EE \ u306E \ u63A2 \ u691C \ u5BB6 \ u3092 \ u9078 \ u629E \ u3059 \ u308B,
Event00_Step01.3,\u0032\u4EBA\u76EE\u306E\u63A2\u691C\u5BB6\u3092\u5EFA\u7269\u5185\u306B\u9001\u308B,\ u0032 \ u4EBA \ u76EE \ u306E \ u63A2 \ u691C \ u5BB6 \ u3092 \ u5EFA \ u7269 \ u5185 \ u306B \ u9001 \ u308B,
Event00_Step02.1,\u78BA\u8A8D\u3057 \u201D\u7D9A\u884C\u201D \u3092\u30AF\u30EA\u30C3\u30AF,\ u78BA \ u8A8Dの\ u3057 \u201D\ u7D9A \ u884C\u201D \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Event00_Step02.2,\u78BA\u8A8D\u3057 \u201D\u7D9A\u884C\u201D \u3092\u30AF\u30EA\u30C3\u30AF,\ u78BA \ u8A8Dの\ u3057 \u201D\ u7D9A \ u884C\u201D \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Event00_Step02.3,\u78BA\u8A8D\u3057 \u201D\u7D9A\u884C\u201D \u3092\u30AF\u30EA\u30C3\u30AF,\ u78BA \ u8A8Dの\ u3057 \u201D\ u7D9A \ u884C\u201D \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Event00_Step02.4,\u677F\u6750\u3092\u6696\u7089\u306B\u5165\u308C\u308B,\ u677F \ u6750 \ u3092 \ u6696 \ u7089 \ u306B \ u5165 \ u308C \ u308B,
Event00_Step02.5,\u6696\u7089\u306B\u706B\u3092\u3064\u3051\u308B,\ u6696 \ u7089 \ u306B \ u706B \ u3092 \ u3064 \ u3051 \ u308B,
Event00_Step02.6,\u90E8\u5C4B\u3092\u6696\u3081\u308B\u305F\u3081\u306B\u7A93\u3092\u9589\u3081\u308B,\ u90E8 \ u5C4B \ u3092 \ u6696 \ u3081 \ u308B \ u305F \ u3081 \ u306B \ u7A93 \ u3092 \ u9589 \ u3081 \ u308B,
Event00_Step03.1,\u6B21\u306E\u90E8\u5C4B\u3078\u884C\u304F,\ u6B21 \ u306E \ u90E8 \ u5C4B \ u3078 \ u884C \ u304F,
Event00_Step04.1,\u78BA\u8A8D\u3057 \u201D\u7D9A\u884C\u201D \u3092\u30AF\u30EA\u30C3\u30AF,\ u78BA \ u8A8Dの\ u3057 \u201D\ u7D9A \ u884C\u201D \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Event00_Step04.2,\u68DA\u304B\u3089\u30AC\u30B9\u7F36\u3092\u62FE\u3046,\ u68DA \ u304B \ u3089 \ u30AC \ u30B9 \ u7F36 \ u3092 \ u62FE \ u3046,
Event00_Step04.3,\u767A\u96FB\u6A5F\u306B\u71C3\u6599\u3092\u88DC\u7D66\u3059\u308B,\ u767A \ u96FB \ u6A5F \ u306B \ u71C3 \ u6599 \ u3092 \ u88DC \ u7D66 \ u3059 \ u308B,
Event00_Step04.4,\u78BA\u8A8D\u3057 \u201D\u7D9A\u884C\u201D \u3092\u30AF\u30EA\u30C3\u30AF,\ u78BA \ u8A8Dの\ u3057 \u201D\ u7D9A \ u884C\u201D \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Event00_Step05.1,\u78BA\u8A8D\u3057 \u201D\u7D9A\u884C\u201D \u3092\u30AF\u30EA\u30C3\u30AF,\ u78BA \ u8A8Dの\ u3057 \u201D\ u7D9A \ u884C\u201D \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Event00_Step05.2,\u30CA\u30A4\u30C8\u30C6\u30FC\u30D6\u30EB\u306B\u3042\u308B\u98DF\u3079\u7269\u3092\u62FE\u3046,\ u30CA \ u30A4 \ u30C8 \ u30C6 \ u30FC \ u30D6 \ u30EB \ u306B \ u3042 \ u308B \ u98DF \ u3079 \ u7269 \ u3092 \ u62FE \ u3046,
Event00_Step05.3,\u30A4\u30F3\u30D9\u30F3\u30C8\u30EA\u3092\u958B\u304F,\ u30A4 \ u30F3 \ u30D9 \ u30F3 \ u30C8 \ u30EA \ u3092 \ u958B \ u304F,
Event00_Step05.4,\u78BA\u8A8D\u3057 \u201D\u7D9A\u884C\u201D \u3092\u30AF\u30EA\u30C3\u30AF,\ u78BA \ u8A8Dの\ u3057 \u201D\ u7D9A \ u884C\u201D \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Event00_Step05.5,\u63A2\u691C\u5BB6\u306B\u98DF\u7CE7\u3092\u4E0E\u3048\u308B,\ u63A2 \ u691C \ u5BB6 \ u306B \ u98DF \ u7CE7 \ u3092 \ u4E0E \ u3048 \ u308B,
Event00_Step05.6,\u30A4\u30F3\u30D9\u30F3\u30C8\u30EA\u3092\u9589\u3058\u308B,\ u30A4 \ u30F3 \ u30D9 \ u30F3 \ u30C8 \ u30EA \ u3092 \ u9589 \ u3058 \ u308B,
Event00_Step05.7,\u63A2\u691C\u5BB6\u304C\u98DF\u3079\u7D42\u308F\u308B\u306E\u3092\u5F85\u3064,\ u63A2 \ u691C \ u5BB6 \ u304C \ u98DF \ u3079 \ u7D42 \ u308F \ u308B \ u306E \ u3092 \ u5F85 \ u3064,
Event00_Step06.1,\u30AD\u30E3\u30D3\u30CD\u30C3\u30C8\u3092\u63A2\u3059,\ u30AD \ u30E3 \ u30D3 \ u30CD \ u30C3 \ u30C8 \ u3092 \ u63A2 \ u3059,
Event00_Step06.2,\u78BA\u8A8D\u3057 \u201D\u7D9A\u884C\u201D \u3092\u30AF\u30EA\u30C3\u30AF,\ u78BA \ u8A8Dの\ u3057 \u201D\ u7D9A \ u884C\u201D \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF,
Event00_Step06.3,\u5305\u5E2F\u306E\u5165\u3063\u305F\u6728\u7BB1\u3092\u63A2\u3059,\ u5305 \ u5E2F \ u306E \ u5165 \ u3063 \ u305F \ u6728 \ u7BB1 \ u3092 \ u63A2 \ u3059,
Event00_Step06.4,\u51FA\u8840\u3092\u6B62\u3081\u308B\uFF08\u30A4\u30F3\u30D9\u30F3\u30C8\u30EA\u3092\u958B\u3044\u3066\u5305\u5E2F\u3092\u63A2\u691C\u5BB6\u306B\u30C9\u30E9\u30C3\u30B0\uFF09,\ u51FA \ u8840 \ u3092 \ u6B62 \ u3081 \ u308B \ uFF08 \ u30A4 \ u30F3 \ u30D9 \ u30F3 \ u30C8 \ u30EA \ u3092 \ u958B \ u3044 \ u3066 \ u5305 \ u5E2F \ u3092 \ u63A2 \ u691C \ u5BB6 \ u306B \ u30C9 \ u30E9 \ u30C3 \ u30B0 \ uFF09,
